1	-0.675487	-2.43742	-1.49219	
2	-0.000564172	-3.26102	0.275179	
3	-1.33693	1.26308	-3.1159	
4	0.317961	1.02462	-2.84059	
5	-0.552307	2.84352	-0.618625	
6	5.28735	1.35466	-0.261867	
7	-0.283435	2.36807	-0.740873	
8	-3.6781	-0.125741	2.43975	
9	1.02445	2.93501	-0.89984	
10	-2.39597	3.1836	-2.60846	
11	2.81229	-1.71149	-0.0765473	
12	0.674486	-0.760114	0.772941	
13	-1.37041	-0.869719	-2.79019	
14	-2.08181	-0.920073	2.31032	
15	-3.30919	-1.65509	0.0389334	
16	2.35645	-2.48466	-1.05592	
17	-1.2196	-1.00203	3.26359	
18	1.67362	-1.65806	0.768094	
19	3.13874	-3.04943	-0.642389	
20	-1.41936	-0.898975	-2.80189	
21	0.633936	-0.913048	0.777427	
22	-0.790099	-0.527589	-0.147736	
23	-1.74292	1.91154	4.40485	
24	1.03494	2.39755	1.25574	
25	-2.33111	1.95866	3.30695	
26	-2.41664	-1.90703	0.798024	
27	1.76367	-0.460117	-3.21083	
28	-3.22909	2.15469	-1.07349	
29	-1.59944	0.02287	-0.0895199	
30	0.85672	2.7012	1.08594	
31	0.137935	0.41889	1.26099	
32	-1.5634	1.84597	1.57379	
33	1.0157	2.89617	-0.91376	
34	1.3075	-3.02178	-1.95974	
35	-0.480561	-0.800636	-0.117038	
36	2.15221	1.26407	-3.46442	
37	3.06281	-0.0991252	0.0693867	
38	0.0334296	-0.312222	-2.45244	
39	3.27547	-0.924755	1.03563	
40	2.47256	1.53376	1.75462	
41	-2.39666	-0.988005	2.32194	
42	0.308143	-0.193358	3.86302	
43	-3.28701	-1.65432	-0.0299866	
44	-1.84129	-1.66677	0.658183	
45	-0.653554	-3.37597	0.0609201	
46	3.65787	-1.03113	-2.35708	
47	1.65717	3.25895	0.496656	
48	-2.47944	-1.19973	2.40348	
49	3.74458	-0.211315	0.477049	
50	0.92919	-0.85848	0.729366	
51	-1.56659	0.02169	-0.106968	
52	0.0347846	-3.28877	0.367033	
53	5.36307	1.326	-0.308923	
54	-1.49672	-0.726257	-2.71642	
55	-2.68833	-1.07631	2.43862	
56	-3.20297	2.1936	-1.06479	
57	-3.63044	2.10129	-0.567435	
58	-1.60082	-3.10872	-0.0904321	
59	0.746668	-0.0364562	0.378024	
60	1.72587	-1.89158	0.350602	
61	1.20774	-2.76782	-1.86406	
62	2.20544	-2.60221	-0.833013	
63	-1.57913	0.0534335	-0.0798958	
64	-2.39691	-1.83384	-1.12869	
65	-0.335753	-3.91089	0.691314	
66	-0.287305	-2.16635	-3.31357	
67	-0.432566	-0.825175	0.0689604	
68	-0.478297	-3.77538	-1.55584	
69	-2.49279	3.30602	-2.57417	
70	-2.24576	2.00393	3.31457	
71	0.43429	-1.33145	-2.08774	
72	-1.60455	0.228971	-0.127917	
73	-1.50995	-3.23622	1.35295	
74	0.275867	-0.106138	3.80944	
75	-1.56033	-3.19399	1.16569	
76	5.18657	1.45927	-0.264958	
77	0.808293	4.86752	0.44313	
78	2.734	-2.35772	3.49629	
79	0.315084	-0.0793347	3.83874	
80	-0.762679	-2.48403	-1.55875	
81	-2.25061	-0.987556	2.30145	
82	-1.41393	-3.29549	1.35108	
83	-2.55923	3.23149	-2.67022	
84	-1.52811	0.0848062	-0.0589757	
85	1.19388	2.28976	0.460545	
86	1.83324	-0.45746	-3.355	
87	-1.71163	1.86402	4.37863	
88	0.906725	-3.30681	-1.52683	
89	1.29099	-3.01279	-1.95628	
90	-0.877723	-2.27434	-1.50028	
91	-3.22944	2.20633	-1.09935	
92	2.7906	-2.28995	3.59573	
93	-1.96728	3.71482	-1.45741	
94	-0.743395	-2.4313	-1.47736	
95	-0.44418	-0.0794891	0.641581	
96	-1.50021	-3.16953	1.15419	
97	-1.39518	-0.770133	-2.68654	
98	-1.78977	1.91345	4.31475	
99	-0.109546	-2.41574	2.97482	
100	-1.21827	1.9128	1.33534	
101	-3.33543	1.16346	-4.16011	
102	0.256568	-0.0755034	3.93985	
103	0.190852	0.867081	-2.40611	
104	2.70651	-2.29305	-1.26119	
105	-0.431458	-0.662766	-0.0185762	
106	-3.16895	2.24864	-0.976013	
107	-0.553167	2.97242	-0.526518	
108	-0.170889	-2.42203	3.01157	
109	-2.62722	0.295708	-1.32099	
110	-0.189336	-1.50235	3.17473	
111	1.58739	-2.94348	-0.594455	
112	0.836905	-0.752777	0.65955	
113	-0.895642	-0.642557	-0.187569	
114	1.17403	3.43059	-0.509189	
115	-2.94639	0.887674	-3.61566	
116	-1.50724	-3.43413	1.22692	
117	-2.09107	1.65159	3.05486	
118	0.203534	-0.0679194	3.90925	
119	-2.58591	3.36552	-2.50715	
120	0.13251	-1.75106	-1.83687	
121	-2.20826	-2.31369	-0.947241	
122	-0.671341	-2.30187	2.73044	
123	0.277143	-0.0836003	3.84031	
124	0.235945	-0.123129	3.88337	
125	-2.01191	2.4319	-2.09819	
126	0.511513	2.43826	1.32018	
127	0.341755	-0.0683403	3.82674	
128	-2.2405	-0.986371	2.37735	
129	-0.26415	3.46498	1.29167	
130	-1.49909	0.331783	-0.354531	
131	1.19239	-0.0901299	-4.33812	
132	-2.26603	1.95225	3.29681	
133	-1.26826	1.25041	-2.97376	
134	-1.83117	3.58552	-1.44597	
135	1.18712	-2.71645	2.66227	
136	-1.32049	-3.29526	1.40725	
137	2.5057	2.27839	2.42224	
138	1.40226	-2.90193	-0.521079	
139	-1.80573	1.99211	4.36287	
140	3.04074	-0.0251943	-1.87027	
141	-1.81339	1.87314	4.33325	
142	-0.687446	-1.12464	-3.21194	
143	-2.211	-1.046	2.43123	
144	1.14738	-0.0743347	-4.62236	
145	-3.91418	-2.45337	-0.895367	
146	1.32805	-3.08339	-1.93454	
147	2.73318	-2.38423	3.50216	
148	1.20331	3.37772	-0.423532	
149	-3.70357	-0.0658565	2.38601	
150	1.16212	-0.131953	-4.55652	
151	-3.58515	-0.0929114	2.40742	
152	-2.1996	2.93854	-2.52411	
153	-0.531291	-2.35363	-1.57367	
154	1.88149	-2.32355	1.55742	
155	1.86887	-2.29592	1.63842	
156	0.798677	2.74048	1.04839	
157	0.824012	-2.96618	-1.53982	
158	2.72638	-2.28912	3.56322	
159	0.816974	4.87361	0.398587	
160	2.54659	2.3454	2.4531	
161	0.279054	-0.054235	3.85769	
162	-2.97335	0.914028	-3.56454	
163	0.393762	0.125447	0.131625	
164	-2.15701	-2.42692	0.835143	
165	-2.47574	-1.76129	0.829336	
166	0.962951	2.90098	-0.905833	
167	-1.17933	-0.951142	3.2471	
168	-3.1259	0.982214	-3.63534	
169	-1.50118	-0.0310391	-0.108244	
170	0.301174	-0.279335	-2.23822	
171	3.39503	1.44586	-1.68944	
172	1.33775	-0.0681789	-4.47273	
173	-1.63182	1.81173	1.42352	
174	-0.619215	1.43724	0.837127	
175	1.9786	1.81283	1.74873	
176	1.19555	3.46193	-0.583482	
177	0.408241	0.781131	1.04929	
178	-1.08819	1.2468	-2.7234	
179	-2.18375	-1.16611	-2.69032	
180	-1.44095	1.85945	1.74742	
181	-1.93142	3.62629	-1.41754	
182	-2.35676	-1.43471	-1.07322	
183	-0.20315	-2.12488	-3.32297	
184	-2.36733	1.87279	3.20734	
185	-1.31717	1.36495	-3.11548	
186	-0.656027	1.44618	0.802536	
187	-3.1017	0.979709	-3.67577	
188	3.35217	-1.08594	1.0444	
189	-1.61764	1.80186	1.37847	
190	-2.34169	-1.96487	0.816667	
191	-0.135086	-2.14863	-3.3364	
192	1.93206	-2.29667	1.55716	
193	-0.494667	-2.69552	2.93275	
194	4.86061	1.32118	-0.129947	
195	-2.31755	1.93433	3.24597	
196	1.10652	3.44514	-0.646451	
197	-2.6324	3.26468	-2.54993	
198	-1.22282	-0.925859	3.2309	
199	4.87393	1.36715	-0.220344	
200	-1.29397	1.83672	1.77896	
201	-0.215658	-2.44204	-3.64346	
202	5.1468	1.36276	-0.180026	
203	1.78041	-2.26064	1.66134	
204	-1.37753	-3.27341	1.35436	
205	1.26052	-1.53721	1.93591	
206	-0.770746	-1.11594	-3.21227	
207	1.75251	-0.582244	-3.28336	
208	2.71029	-2.3453	-1.2187	
209	-1.09994	-1.04391	3.24466	
210	0.346182	1.14573	-2.81019	
